"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Rushing","","","","","Passing","","","","","","Total Off.","","Receiving","","","Pass Int","","","Fumble Ret","","","Punting","","Punt Ret","","","KO Ret","","","Total TD","Off xpts","","","","Def xpts","","","","FG","","Saf","Points"
"","","","","","","Rushes","Gain","Loss","Net","TD","Att","Cmp","Int","Yards","TD","Conv","Plays","Yards","No.","Yards","TD","No.","Yards","TD","No.","Yards","TD","No.","Yards","No.","Yards","TD","No.","Yards","TD","","Kicks Att","Kicks Made","R/P Att","R/P Made","Kicks Att","Kicks Made","Int/Fum Att","Int/Fum Made","Att","Made"
"721","Air Force","09/10/05","23","HALL","CHAD","3","7","3","4","0","","","","","","","3","4","2","30","0","","","","","","","","","1","8","0","","","","","","","","","","","","","","","","0"
"721","Air Force","09/17/05","23","HALL","CHAD","5","36","0","36","1","","","","","","","5","36","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/22/05","23","HALL","CHAD","4","26","0","26","0","2","0","1","0","0","","6","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/29/05","23","HALL","CHAD","11","109","2","107","0","","","","","","","11","107","1","32","0","","","","","","","","","","","","1","13","0","","","","","","","","","","","","","0"
"721","Air Force","10/08/05","23","HALL","CHAD","6","32","1","31","0","","","","","","","6","31","","","","","","","","","","","","1","10","0","","","","","","","","","","","","","","","","0"
"721","Air Force","10/15/05","23","HALL","CHAD","10","34","3","31","0","","","","","","","10","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/05","23","HALL","CHAD","5","21","0","21","0","","","","","","","5","21","2","13","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/05","23","HALL","CHAD","6","34","4","30","0","","","","","","","6","30","4","23","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","11/05/05","23","HALL","CHAD","6","23","2","21","0","","","","","","","6","21","5","29","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/19/05","23","HALL","CHAD","3","12","0","12","0","1","0","0","0","0","","4","12","2","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/05","18","HANDLEY","JUSTIN","1","3","0","3","0","","","","","","","1","3","2","15","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/05","18","HANDLEY","JUSTIN","1","11","0","11","0","","","","","","","1","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/17/05","18","HANDLEY","JUSTIN","8","38","0","38","1","","","","","","","8","38","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/22/05","18","HANDLEY","JUSTIN","2","15","0","15","0","","","","","","","2","15","1","8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/05","18","HANDLEY","JUSTIN","2","7","3","4","1","","","","","","","2","4","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/15/05","18","HANDLEY","JUSTIN","4","20","2","18","0","","","","","","","4","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/05","18","HANDLEY","JUSTIN","6","62","0","62","0","","","","","","","6","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/05","18","HANDLEY","JUSTIN","3","14","0","14","0","","","","","","","3","14","1","8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
